"indicator_name" "num_avail"
"2005 PPP conversion factor, GDP (LCU per international $)" 1
"2005 PPP conversion factor, private consumption (LCU per international $)" 1
"Access to electricity (% of population)" 4
"Access to electricity, rural (% of rural population)" 4
"Access to electricity, urban (% of urban population)" 4
"Access to non-solid fuel (% of population)" 4
"Access to non-solid fuel, rural (% of rural population)" 2
"Access to non-solid fuel, urban (% of urban population)" 2
"Account at a financial institution (% age 15+) [ts]" 1
"Account at a financial institution, female (% age 15+) [ts]" 1
"Account at a financial institution, income, poorest 40% (% ages 15+) [ts]" 1
"Account at a financial institution, income, richest 60% (% ages 15+) [ts]" 1
"Account at a financial institution, male (% age 15+) [ts]" 1
"Adequacy of social insurance programs (% of total welfare of beneficiary households)" 0
"Adequacy of social protection and labor programs (% of total welfare of beneficiary households)" 1
"Adequacy of social safety net programs (% of total welfare of beneficiary households)" 1
"Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)" 0
"Adjusted net enrollment rate, primary, female (% of primary school age children)" 24
"Adjusted net enrollment rate, primary, male (% of primary school age children)" 24
"Adjusted net enrolment rate, primary, both sexes (%)" 37
"Adjusted net national income (annual % growth)" 43
"Adjusted net national income (constant 2010 US$)" 44
"Adjusted net national income (current US$)" 45
"Adjusted net national income per capita (annual % growth)" 43
"Adjusted net national income per capita (constant 2010 US$)" 44
"Adjusted net national income per capita (current US$)" 45
"Adjusted net savings, excluding particulate emission damage (% of GNI)" 39
"Adjusted net savings, excluding particulate emission damage (current US$)" 39
"Adjusted net savings, including particulate emission damage (% of GNI)" 25
"Adjusted net savings, including particulate emission damage (current US$)" 25
"Adjusted savings: carbon dioxide damage (% of GNI)" 45
"Adjusted savings: carbon dioxide damage (current US$)" 45
"Adjusted savings: consumption of fixed capital (% of GNI)" 45
"Adjusted savings: consumption of fixed capital (current US$)" 45
"Adjusted savings: education expenditure (% of GNI)" 45
"Adjusted savings: education expenditure (current US$)" 45
"Adjusted savings: energy depletion (% of GNI)" 45
"Adjusted savings: energy depletion (current US$)" 46
"Adjusted savings: gross savings (% of GNI)" 39
"Adjusted savings: mineral depletion (% of GNI)" 45
"Adjusted savings: mineral depletion (current US$)" 46
"Adjusted savings: natural resources depletion (% of GNI)" 45
"Adjusted savings: net forest depletion (% of GNI)" 45
"Adjusted savings: net forest depletion (current US$)" 45
"Adjusted savings: net national savings (% of GNI)" 39
"Adjusted savings: net national savings (current US$)" 39
"Adjusted savings: particulate emission damage (% of GNI)" 25
"Adjusted savings: particulate emission damage (current US$)" 25
"Adolescent fertility rate (births per 1,000 women ages 15-19)" 56
"Adolescents out of school (% of lower secondary school age)" 6
"Adolescents out of school, female (% of female lower secondary school age)" 6
"Adolescents out of school, male (% of male lower secondary school age)" 6
"Adult literacy rate, population 15+ years, both sexes (%)" 9
"Adults (ages 15+) and children (ages 0-14) newly infected with HIV" 26
"Adults (ages 15+) newly infected with HIV" 26
"Age dependency ratio (% of working-age population)" 56
"Age dependency ratio, old (% of working-age population)" 56
"Age dependency ratio, young (% of working-age population)" 56
"Agricultural irrigated land (% of total agricultural land)" 13
"Agricultural land (% of land area)" 54
"Agricultural land (sq. km)" 54
"Agricultural machinery, tractors" 48
"Agricultural machinery, tractors per 100 sq. km of arable land" 48
"Agricultural methane emissions (% of total)" 39
"Agricultural methane emissions (thousand metric tons of CO2 equivalent)" 39
"Agricultural nitrous oxide emissions (% of total)" 39
"Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)" 39
"Agricultural raw materials exports (% of merchandise exports)" 54
"Agricultural raw materials imports (% of merchandise imports)" 54
"Agriculture value added per worker (constant 2010 US$)" 36
"Agriculture, value added (% of GDP)" 51
"Agriculture, value added (annual % growth)" 50
"Agriculture, value added (constant 2010 US$)" 51
"Agriculture, value added (constant LCU)" 51
"Agriculture, value added (current LCU)" 51
"Agriculture, value added (current US$)" 51
"Air transport, freight (million ton-km)" 46
"Air transport, passengers carried" 46
"Air transport, registered carrier departures worldwide" 46
"All education staff compensation, primary (% of total expenditure in primary public institutions)" 3
"All education staff compensation, secondary (% of total expenditure in secondary public institutions)" 3
"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)" 3
"All education staff compensation, total (% of total expenditure in public institutions)" 2
"Alternative and nuclear energy (% of total energy use)" 43
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)" 5
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)" 5
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)" 5
"Annual freshwater withdrawals, total (% of internal resources)" 8
"Annual freshwater withdrawals, total (billion cubic meters)" 8
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)" 0
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)" 0
"Antiretroviral therapy coverage (% of people living with HIV)" 16
"Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)" 0
"Aquaculture production (metric tons)" 45
"Arable land (% of land area)" 54
"Arable land (hectares per person)" 54
"Arable land (hectares)" 54
"ARI treatment (% of children under 5 taken to a health provider)" 3
"Armed forces personnel (% of total labor force)" 25
"Armed forces personnel, total" 27
"Arms exports (SIPRI trend indicator values)" 0
"Arms imports (SIPRI trend indicator values)" 46
"Automated teller machines (ATMs) (per 100,000 adults)" 15
"Average grace period on new external debt commitments (years)" 46
"Average grace period on new external debt commitments, official (years)" 46
"Average grace period on new external debt commitments, private (years)" 46
"Average grant element on new external debt commitments (%)" 46
"Average grant element on new external debt commitments, official (%)" 46
"Average grant element on new external debt commitments, private (%)" 46
"Average interest on new external debt commitments (%)" 46
"Average interest on new external debt commitments, official (%)" 46
"Average interest on new external debt commitments, private (%)" 46
"Average maturity on new external debt commitments (years)" 46
"Average maturity on new external debt commitments, official (years)" 46
"Average maturity on new external debt commitments, private (years)" 46
"Average precipitation in depth (mm per year)" 12
"Average time to clear exports through customs (days)" 1
"Average transaction cost of sending remittances from a specific country (%)" 0
"Average transaction cost of sending remittances to a specific country (%)" 5
"Average working hours of children, study and work, ages 7-14 (hours per week)" 1
"Average working hours of children, study and work, female, ages 7-14 (hours per week)" 1
"Average working hours of children, study and work, male, ages 7-14 (hours per week)" 1
"Average working hours of children, working only, ages 7-14 (hours per week)" 1
"Average working hours of children, working only, female, ages 7-14 (hours per week)" 1
"Average working hours of children, working only, male, ages 7-14 (hours per week)" 1
"Bank capital to assets ratio (%)" 10
"Bank liquid reserves to bank assets ratio (%)" 0
"Bank nonperforming loans to total gross loans (%)" 18
"Battle-related deaths (number of people)" 0
"Benefits incidence in poorest quintile (%) - All Labor Market" 0
"Benefits incidence in poorest quintile (%) - All Social Assistance" 1
"Benefits incidence in poorest quintile (%) - All Social Insurance" 0
"Benefits incidence in poorest quintile (%) -All Social Protection and Labor" 1
"Binding coverage, all products (%)" 15
"Binding coverage, manufactured products (%)" 15
"Binding coverage, primary products (%)" 15
"Bird species, threatened" 1
"Birth rate, crude (per 1,000 people)" 55
"Births attended by skilled health staff (% of total)" 5
"Borrowers from commercial banks (per 1,000 adults)" 15
"Bound rate, simple mean, all products (%)" 15
"Bound rate, simple mean, manufactured products (%)" 15
"Bound rate, simple mean, primary products (%)" 15
"Bribery incidence (% of firms experiencing at least one bribe payment request)" 1
"Broad money (% of GDP)" 51
"Broad money (current LCU)" 56
"Broad money growth (annual %)" 55
"Broad money to total reserves ratio" 50
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)" 9
"Business extent of disclosure index (0=less disclosure to 10=more disclosure)" 12
"Capture fisheries production (metric tons)" 55
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)" 2
"Cause of death, by injury (% of total)" 2
"Cause of death, by non-communicable diseases (% of total)" 2
"Central government debt, total (% of GDP)" 23
"Central government debt, total (current LCU)" 23
"Cereal production (metric tons)" 54
"Cereal yield (kg per hectare)" 54
"Changes in inventories (constant LCU)" 9
"Changes in inventories (current LCU)" 51
"Changes in inventories (current US$)" 51
"Charges for the use of intellectual property, payments (BoP, current US$)" 28
"Charges for the use of intellectual property, receipts (BoP, current US$)" 24
"Chemicals (% of value added in manufacturing)" 41
"Child employment in agriculture (% of economically active children ages 7-14)" 0
"Child employment in agriculture, female (% of female economically active children ages 7-14)" 0
"Child employment in agriculture, male (% of male economically active children ages 7-14)" 0
"Child employment in manufacturing (% of economically active children ages 7-14)" 0
"Child employment in manufacturing, female (% of female economically active children ages 7-14)" 0
"Child employment in manufacturing, male (% of male economically active children ages 7-14)" 0
"Child employment in services (% of economically active children ages 7-14)" 0
"Child employment in services, female (% of female economically active children ages 7-14)" 0
"Child employment in services, male (% of male economically active children ages 7-14)" 0
